id,tweet_id,sentiment_value,ortographic_value,bad_words_value,spam_value,text_credibility
0,759411794188394496,0.0,0,[0],1,[0.25]
1,760980269071491073,0.0,1,[0],1,[0.5]
2,761313687839842304,0.0,1,[0],1,[0.5]text_credibility
3,761584845562798080,0.0,0,[0],1,[0.25]
4,763525585972891648,0.0,1,[0],0,[0.25]
5,765616886570704896,0.0,1,[0],0,[0.25]
6,767472701535584256,0.0,1,[0],1,[0.5]
7,777896871180242944,0.0,1,[0],0,[0.25]
8,785350155352637444,0.0,1,[0],0,[0.25]
9,821827615682134017,0.0,1,[0],1,[0.5]
10,822252686724759552,0.0,0,[0],1,[0.25]
11,825152113881784322,0.0,0,[0],0,[0.]
12,826509990575874050,0.0,0,[0],1,[0.25]
13,830297811648385025,0.5,0,[0],1,[0.375]
14,835187768477147136,1.0,1,[0],0,[0.5]
15,835904097555394560,0.0,0,[0],1,[0.25]
16,836766105393778688,0.0,0,[0],1,[0.25]
17,837088218902233088,1.0,1,[0],0,[0.5]
18,837740985572446209,0.0,1,[0],0,[0.25]
19,838490880889638912,0.0,1,[0],0,[0.25]
20,841375758383693825,0.0,1,[0],0,[0.25]
21,841968577758531587,0.0,0,[0],0,[0.]
22,844286712402526208,0.0,0,[0],0,[0.]
23,845492585359556608,0.0,0,[0],1,[0.25]
24,848973920623628294,0.0,0,[0],1,[0.25]
25,849712524635152385,0.0,0,[0],1,[0.25]
26,851100469355134976,0.0,0,[0],1,[0.25]
27,852220303996407808,0.0,0,[0],1,[0.25]
28,852242557517967360,0.0,0,[0],0,[0.]
29,854759837867008000,0.0,1,[0],0,[0.25]
30,855503981321138176,0.0,1,[0],1,[0.5]
31,880780025213186048,0.0,0,[0],1,[0.25]
32,881644884360179712,0.0,0,[0],0,[0.]
33,883637222486024196,0.0,0,[0],1,[0.25]
34,883641359197974528,0.0,0,[0],1,[0.25]
35,885935311280386052,0.0,0,[0],1,[0.25]
36,886362875161333760,0.0,0,[0],1,[0.25]
37,887734765109096450,0.0,1,[0],1,[0.5]
38,890602993866887168,0.0,1,[0],0,[0.25]
39,891283049786347522,0.0,0,[0],1,[0.25]
40,894601371940302848,0.0,0,[0],0,[0.]
41,896808544447610880,0.0,0,[0],1,[0.25]
42,897935809562673152,0.0,0,[0],1,[0.25]
43,899373942036680704,0.0,1,[0],0,[0.25]
44,900141278687612928,0.0,0,[0],0,[0.]
45,905838086025830403,0.0,0,[0],1,[0.25]
46,906270308197429248,1.0,0,[1],1,[0.75]
